work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,job_type,company_location,company_size
2020,Mid,Full_Time,Data Scientist,79833,Germany,onsite,Germany,Large
2020,Senior,Full_Time,Machine Learning Scientist,260000,Japan,onsite,Japan,Small
2020,Senior,Full_Time,Big Data Engineer,109024,United Kingdom,hybrid,United Kingdom,Medium
2020,Mid,Full_Time,Product Data Analyst,20000,Honduras,onsite,Honduras,Small
2020,Senior,Full_Time,Machine Learning Engineer,150000,United States,hybrid,United States,Large
2020,Entry,Full_Time,Data Analyst,72000,United States,remote,United States,Large
2020,Senior,Full_Time,Lead Data Scientist,190000,United States,remote,United States,Small
2020,Mid,Full_Time,Data Scientist,35735,Hungary,hybrid,Hungary,Large
2020,Mid,Full_Time,Business Data Analyst,135000,United States,remote,United States,Large
2020,Senior,Full_Time,Lead Data Engineer,125000,New Zealand,hybrid,New Zealand,Small
2020,Entry,Full_Time,Data Scientist,51321,France,onsite,France,Small
2020,Mid,Full_Time,Data Scientist,40481,India,onsite,India,Large
2020,Entry,Full_Time,Data Scientist,39916,France,onsite,France,Medium
2020,Mid,Full_Time,Lead Data Analyst,87000,United States,remote,United States,Large
2020,Mid,Full_Time,Data Analyst,85000,United States,remote,United States,Large
2020,Mid,Full_Time,Data Analyst,8000,Pakistan,hybrid,Pakistan,Large
2020,Entry,Full_Time,Data Engineer,41689,Japan,remote,Japan,Small
2020,Senior,Full_Time,Big Data Engineer,114047,Poland,remote,United Kingdom,Small
2020,Entry,Full_Time,Data Science Consultant,5707,India,hybrid,India,Medium
2020,Mid,Full_Time,Lead Data Engineer,56000,Portugal,remote,United States,Medium
2020,Mid,Full_Time,Machine Learning Engineer,43331,China,onsite,China,Medium
2020,Mid,Full_Time,Product Data Analyst,6072,India,remote,India,Large
2020,Senior,Full_Time,Data Engineer,47899,Greece,hybrid,Greece,Large
2020,Mid,Full_Time,BI Data Analyst,98000,United States,onsite,United States,Medium
2020,Mid,Full_Time,Lead Data Scientist,115000,United Arab Emirates,onsite,United Arab Emirates,Large
2020,Executive,Full_Time,Director of Data Science,325000,United States,remote,United States,Large
2020,Entry,Full_Time,Research Scientist,42000,Netherlands,hybrid,Netherlands,Large
2020,Senior,Full_Time,Data Engineer,33511,Mexico,onsite,Mexico,Small
2020,Entry,Contract,Business Data Analyst,100000,United States,remote,United States,Large
2020,Senior,Full_Time,Machine Learning Manager,117104,Canada,hybrid,Canada,Large
2020,Mid,Full_Time,Data Engineering Manager,59303,Germany,remote,Germany,Small
2020,Entry,Full_Time,Big Data Engineer,70000,United States,remote,United States,Large
2020,Senior,Full_Time,Data Scientist,68428,Greece,remote,United States,Large
2020,Mid,Full_Time,Research Scientist,450000,United States,onsite,United States,Medium
2020,Mid,Full_Time,Data Analyst,46759,France,hybrid,France,Large
2020,Mid,Full_Time,Data Engineer,74130,Austria,hybrid,Austria,Large
2020,Mid,Full_Time,Data Science Consultant,103000,United States,remote,United States,Large
2020,Entry,Full_Time,Machine Learning Engineer,250000,United States,hybrid,United States,Large
2020,Entry,Full_Time,Data Analyst,10000,Nigeria,remote,Nigeria,Small
2020,Entry,Full_Time,Machine Learning Engineer,138000,United States,remote,United States,Small
2020,Mid,Full_Time,Data Scientist,45760,Philippines,remote,United States,Small
2020,Executive,Full_Time,Data Engineering Manager,79833,Spain,hybrid,Spain,Large
2020,Mid,Full_Time,Machine Learning Infrastructure Engineer,50180,Portugal,onsite,Portugal,Medium
2020,Mid,Full_Time,Data Engineer,106000,United States,remote,United States,Large
2020,Mid,Full_Time,Data Engineer,112872,United Kingdom,hybrid,United Kingdom,Large
2020,Entry,Part_Time,ML Engineer,15966,Germany,remote,Germany,Small
2020,Mid,Full_Time,Data Scientist,76958,United Kingdom,remote,United Kingdom,Small
2020,Senior,Full_Time,Data Engineer,188000,United States,remote,United States,Large
2020,Mid,Full_Time,Data Scientist,105000,United States,remote,United States,Large
2020,Mid,Full_Time,Data Engineer,70139,France,hybrid,France,Large
2020,Entry,Full_Time,Data Analyst,6072,India,onsite,India,Small
2020,Entry,Full_Time,Data Analyst,91000,United States,remote,United States,Large
2020,Entry,Full_Time,AI Scientist,45896,Denmark,hybrid,Denmark,Small
2020,Entry,Full_Time,Data Engineer,54742,Pakistan,remote,Germany,Large
2020,Senior,Freelance,Computer Vision Engineer,60000,Russian Federation,remote,United States,Small
2020,Senior,Full_Time,Principal Data Scientist,148261,Germany,remote,Germany,Medium
2020,Mid,Full_Time,Data Scientist,38776,Spain,remote,Spain,Medium
2020,Mid,Full_Time,Data Scientist,118000,United States,remote,United States,Medium
2020,Senior,Full_Time,Data Scientist,120000,United States,hybrid,United States,Large
2020,Mid,Full_Time,Data Scientist,138350,United States,remote,United States,Medium
2020,Mid,Full_Time,Data Engineer,110000,United States,remote,United States,Large
2020,Mid,Full_Time,Data Engineer,130800,Spain,remote,United States,Medium
2020,Entry,Part_Time,Data Scientist,21669,Italy,hybrid,Italy,Small
2020,Senior,Full_Time,Data Scientist,412000,United States,remote,United States,Large
2020,Senior,Full_Time,Machine Learning Engineer,45618,Croatia,remote,Croatia,Small
2020,Entry,Full_Time,Data Scientist,62726,Germany,hybrid,Germany,Small
2020,Entry,Full_Time,Data Scientist,49268,Germany,onsite,Germany,Small
2020,Senior,Full_Time,Data Science Manager,190200,United States,remote,United States,Medium
2020,Entry,Full_Time,Data Scientist,105000,United States,remote,United States,Small
2020,Senior,Full_Time,Data Scientist,91237,Austria,onsite,Austria,Small
2020,Mid,Full_Time,Data Scientist,62726,France,hybrid,Luxembourg,Small
2020,Mid,Full_Time,Data Scientist,42197,France,hybrid,France,Small
2021,Entry,Full_Time,Research Scientist,82528,United Kingdom,hybrid,United Kingdom,Large
2021,Executive,Full_Time,BI Data Analyst,150000,India,remote,United States,Large
2021,Executive,Full_Time,Head of Data,235000,United States,remote,United States,Large
2021,Senior,Full_Time,Data Scientist,53192,France,hybrid,France,Large
2021,Mid,Full_Time,BI Data Analyst,100000,United States,remote,United States,Medium
2021,Mid,Part_Time,3D Computer Vision Researcher,5409,India,hybrid,India,Medium
2021,Mid,Contract,ML Engineer,270000,United States,remote,United States,Large
2021,Entry,Full_Time,Data Analyst,80000,United States,remote,United States,Medium
2021,Senior,Full_Time,Data Analytics Engineer,79197,Germany,remote,Germany,Large
2021,Mid,Full_Time,Data Engineer,140000,United States,remote,United States,Large
2021,Mid,Full_Time,Applied Data Scientist,54238,United Kingdom,hybrid,Canada,Large
2021,Mid,Full_Time,Machine Learning Engineer,47282,Spain,remote,Spain,Small
2021,Executive,Full_Time,Director of Data Science,153667,Italy,remote,Poland,Large
2021,Mid,Full_Time,Data Engineer,28476,Poland,remote,Poland,Large
2021,Entry,Full_Time,Data Analyst,59102,France,hybrid,France,Medium
2021,Mid,Full_Time,Data Analytics Engineer,110000,United States,remote,United States,Large
2021,Senior,Full_Time,Lead Data Analyst,170000,United States,remote,United States,Large
2021,Senior,Full_Time,Data Analyst,80000,Bulgaria,remote,United States,Small
2021,Senior,Full_Time,Marketing Data Analyst,88654,Greece,remote,Denmark,Large
2021,Entry,Full_Time,Data Science Consultant,76833,Germany,remote,Germany,Small
2021,Mid,Full_Time,Lead Data Analyst,19609,India,remote,India,Large
2021,Senior,Full_Time,Lead Data Engineer,276000,United States,onsite,United States,Large
2021,Entry,Full_Time,Data Scientist,29751,India,hybrid,India,Large
2021,Mid,Full_Time,Cloud Data Engineer,89294,Singapore,hybrid,Singapore,Large
2021,Entry,Part_Time,AI Scientist,12000,Brazil,remote,United States,Small
2021,Mid,Full_Time,Financial Data Analyst,450000,United States,remote,United States,Large
2021,Entry,Full_Time,Computer Vision Software Engineer,70000,United States,remote,United States,Medium
2021,Mid,Full_Time,Computer Vision Software Engineer,95746,Germany,remote,United States,Small
2021,Mid,Full_Time,Data Analyst,75000,United States,onsite,United States,Large
2021,Senior,Full_Time,Data Engineer,150000,United States,remote,United States,Large
2021,Mid,Full_Time,BI Data Analyst,36259,Hungary,hybrid,United States,Large
2021,Mid,Full_Time,Data Analyst,62000,United States,onsite,United States,Large
2021,Mid,Full_Time,Data Scientist,73000,United States,onsite,United States,Large
2021,Mid,Full_Time,Data Analyst,51519,United Kingdom,hybrid,United Kingdom,Large
2021,Mid,Full_Time,Research Scientist,187442,Canada,remote,Canada,Large
2021,Senior,Full_Time,Data Engineer,115000,United States,remote,United States,Small
2021,Senior,Full_Time,Data Engineer,150000,United States,remote,United States,Medium
2021,Entry,Full_Time,Data Engineer,30428,India,remote,India,Large
2021,Senior,Full_Time,Machine Learning Engineer,94564,Germany,hybrid,Germany,Large
2021,Senior,Full_Time,Director of Data Engineering,113476,United Kingdom,remote,United Kingdom,Medium
2021,Senior,Full_Time,Lead Data Engineer,103160,United Kingdom,remote,United Kingdom,Small
2021,Entry,Part_Time,AI Scientist,12000,Pakistan,remote,United States,Medium
2021,Mid,Full_Time,Data Engineer,45391,Netherlands,remote,Netherlands,Large
2021,Entry,Full_Time,Machine Learning Scientist,225000,United States,remote,United States,Large
2021,Mid,Full_Time,Data Scientist,50000,Nigeria,remote,Nigeria,Large
2021,Mid,Full_Time,Data Science Engineer,40189,Greece,remote,Greece,Medium
2021,Entry,Full_Time,Data Analyst,90000,United States,remote,United States,Small
2021,Mid,Full_Time,Data Engineer,200000,United States,remote,United States,Large
2021,Mid,Full_Time,Big Data Engineer,60000,Spain,hybrid,Romania,Medium
2021,Senior,Full_Time,Principal Data Engineer,200000,United States,remote,United States,Medium
2021,Entry,Full_Time,Data Analyst,50000,United States,remote,United States,Medium
2021,Entry,Full_Time,Applied Data Scientist,110037,United Kingdom,onsite,United Kingdom,Large
2021,Entry,Part_Time,Data Analyst,10354,Spain,hybrid,Spain,Medium
2021,Mid,Full_Time,Principal Data Scientist,151000,United States,remote,United States,Large
2021,Senior,Full_Time,Machine Learning Scientist,120000,United States,hybrid,United States,Small
2021,Mid,Full_Time,Data Scientist,9466,India,onsite,India,Small
2021,Entry,Full_Time,Machine Learning Engineer,20000,India,remote,India,Small
2021,Senior,Full_Time,Lead Data Scientist,40570,India,hybrid,India,Large
2021,Entry,Full_Time,Machine Learning Developer,100000,Iraq,hybrid,Iraq,Small
2021,Entry,Full_Time,Data Scientist,49646,France,hybrid,France,Medium
2021,Mid,Full_Time,Applied Machine Learning Scientist,38400,Viet Nam,remote,United States,Medium
2021,Senior,Full_Time,Computer Vision Engineer,24000,Brazil,remote,Brazil,Medium
2021,Entry,Full_Time,Data Scientist,100000,United States,onsite,United States,Small
2021,Mid,Full_Time,Data Analyst,90000,United States,remote,United States,Medium
2021,Mid,Full_Time,ML Engineer,63711,Japan,hybrid,Japan,Small
2021,Mid,Full_Time,ML Engineer,77364,Japan,hybrid,Japan,Small
2021,Senior,Full_Time,Principal Data Scientist,220000,United States,onsite,United States,Large
2021,Entry,Full_Time,Data Scientist,80000,United States,remote,United States,Medium
2021,Mid,Full_Time,Data Analyst,135000,United States,remote,United States,Large
2021,Senior,Full_Time,Data Science Manager,240000,United States,onsite,United States,Large
2021,Senior,Full_Time,Data Engineering Manager,150000,United States,onsite,United States,Large
2021,Mid,Full_Time,Data Scientist,82500,United States,remote,United States,Small
2021,Mid,Full_Time,Data Engineer,100000,United States,remote,United States,Large
2021,Senior,Full_Time,Machine Learning Engineer,82744,Belgium,hybrid,Belgium,Medium
2021,Mid,Full_Time,Research Scientist,62649,France,hybrid,France,Medium
2021,Mid,Full_Time,Data Engineer,90000,United States,remote,United States,Large
2021,Senior,Full_Time,Data Engineering Manager,153000,United States,remote,United States,Large
2021,Senior,Full_Time,Cloud Data Engineer,160000,Brazil,remote,United States,Small
2021,Senior,Full_Time,Director of Data Science,168000,Japan,onsite,Japan,Small
2021,Mid,Full_Time,Data Scientist,150000,United States,remote,United States,Medium
2021,Mid,Full_Time,Data Scientist,75774,Canada,remote,Canada,Large
2021,Entry,Full_Time,Data Scientist,13400,Ukraine,remote,Ukraine,Large
2021,Senior,Full_Time,Data Science Manager,144000,United States,remote,United States,Large
2021,Senior,Full_Time,Data Science Engineer,127221,Canada,hybrid,Canada,Large
2021,Mid,Full_Time,Data Scientist,119059,Singapore,remote,Israel,Medium
2021,Mid,Full_Time,Applied Machine Learning Scientist,423000,United States,hybrid,United States,Large
2021,Senior,Full_Time,Data Analytics Manager,120000,United States,remote,United States,Medium
2021,Entry,Full_Time,Machine Learning Engineer,125000,United States,remote,United States,Small
2021,Executive,Full_Time,Head of Data,230000,Russian Federation,hybrid,Russian Federation,Large
2021,Executive,Full_Time,Head of Data Science,85000,Russian Federation,onsite,Russian Federation,Medium
2021,Mid,Full_Time,Data Engineer,28369,Malta,hybrid,Malta,Large
2021,Entry,Full_Time,Data Science Consultant,63831,Germany,hybrid,Germany,Large
2021,Executive,Full_Time,Director of Data Science,130026,Germany,hybrid,Germany,Medium
2021,Senior,Full_Time,Data Specialist,165000,United States,remote,United States,Large
2021,Entry,Full_Time,Data Engineer,80000,United States,remote,United States,Large
2021,Executive,Full_Time,Director of Data Science,250000,United States,onsite,United States,Large
2021,Entry,Full_Time,BI Data Analyst,55000,United States,hybrid,United States,Small
2021,Mid,Full_Time,Data Architect,150000,United States,remote,United States,Large
2021,Mid,Full_Time,Data Architect,170000,United States,remote,United States,Large
2021,Mid,Full_Time,Data Engineer,82528,United Kingdom,remote,United Kingdom,Large
2021,Entry,Full_Time,Data Analyst,60000,United States,remote,United States,Small
2021,Senior,Full_Time,Principal Data Scientist,235000,United States,remote,United States,Large
2021,Senior,Full_Time,Research Scientist,60757,Portugal,hybrid,Portugal,Large
2021,Senior,Full_Time,Data Engineering Manager,174000,United States,remote,United States,Large
2021,Mid,Full_Time,Data Scientist,2859,Mexico,onsite,Mexico,Small
2021,Mid,Full_Time,Data Scientist,40038,Chile,remote,Chile,Large
2021,Entry,Full_Time,Machine Learning Engineer,81000,United States,hybrid,United States,Small
2021,Mid,Full_Time,Data Scientist,5679,India,remote,United States,Small
2021,Mid,Full_Time,Big Data Engineer,22611,India,onsite,India,Large
2021,Mid,Full_Time,Data Scientist,90734,Germany,hybrid,Germany,Large
2021,Mid,Full_Time,Data Engineer,26005,Romania,onsite,United States,Large
2021,Senior,Full_Time,Finance Data Analyst,61896,United Kingdom,hybrid,United Kingdom,Large
2021,Mid,Freelance,Machine Learning Scientist,12000,Pakistan,hybrid,Pakistan,Medium
2021,Mid,Full_Time,Data Engineer,4000,"Iran, Islamic Republic of",remote,"Iran, Islamic Republic of",Medium
2021,Senior,Full_Time,Data Analytics Engineer,50000,Viet Nam,remote,United Kingdom,Medium
2021,Executive,Full_Time,Data Science Consultant,69741,France,remote,Spain,Small
2021,Senior,Full_Time,Data Engineer,76833,Romania,hybrid,United Kingdom,Small
2021,Mid,Full_Time,Machine Learning Engineer,74000,Japan,hybrid,Japan,Small
2021,Senior,Full_Time,Data Science Manager,152000,United States,remote,France,Large
2021,Entry,Full_Time,Machine Learning Engineer,21844,Colombia,hybrid,Colombia,Medium
2021,Mid,Full_Time,Big Data Engineer,18000,"Moldova, Republic of",onsite,"Moldova, Republic of",Small
2021,Senior,Full_Time,Data Science Manager,174000,United States,remote,United States,Large
2021,Senior,Full_Time,Research Scientist,96113,Canada,hybrid,Canada,Large
2021,Mid,Full_Time,Data Scientist,147000,United States,hybrid,United States,Large
2021,Entry,Full_Time,BI Data Analyst,9272,Kenya,remote,Kenya,Small
2021,Senior,Full_Time,Machine Learning Engineer,24342,India,remote,India,Large
2021,Senior,Full_Time,Data Science Manager,54094,India,hybrid,United States,Large
2021,Entry,Full_Time,Data Science Consultant,90000,United States,remote,United States,Small
2021,Mid,Full_Time,Data Scientist,61467,Germany,hybrid,Austria,Medium
2021,Senior,Full_Time,Machine Learning Infrastructure Engineer,195000,United States,remote,United States,Medium
2021,Mid,Full_Time,Data Scientist,37825,Spain,remote,Spain,Large
2021,Senior,Full_Time,Research Scientist,50000,France,remote,United States,Small
2021,Mid,Full_Time,Data Scientist,160000,United States,remote,United States,Large
2021,Mid,Full_Time,Data Scientist,12901,Brazil,onsite,Brazil,Small
2021,Senior,Full_Time,Machine Learning Engineer,200000,United States,remote,United States,Large
2021,Senior,Full_Time,Data Engineer,165000,United States,onsite,United States,Medium
2021,Mid,Freelance,Data Engineer,20000,Italy,onsite,United States,Large
2021,Senior,Full_Time,Data Analytics Manager,120000,United States,onsite,United States,Large
2021,Mid,Full_Time,Machine Learning Engineer,24823,Slovenia,hybrid,Slovenia,Large
2021,Mid,Full_Time,Research Scientist,56738,France,hybrid,France,Small
2021,Mid,Full_Time,Data Engineer,66022,Hong Kong,hybrid,United Kingdom,Small
2021,Entry,Full_Time,Big Data Engineer,5882,India,onsite,Switzerland,Large
2021,Entry,Full_Time,Machine Learning Engineer,24823,Germany,hybrid,Germany,Medium
2021,Senior,Full_Time,Principal Data Engineer,185000,United States,remote,United States,Large
2021,Entry,Part_Time,Computer Vision Engineer,28609,Denmark,hybrid,Denmark,Small
2021,Mid,Full_Time,Machine Learning Engineer,88654,Belgium,remote,Belgium,Medium
2021,Senior,Full_Time,Data Analytics Manager,140000,United States,remote,United States,Large
2021,Mid,Full_Time,Machine Learning Engineer,46597,Poland,remote,Poland,Large
2021,Mid,Full_Time,Data Scientist,116914,United Kingdom,hybrid,United Kingdom,Large
2021,Mid,Full_Time,Data Scientist,33808,India,onsite,India,Medium
2021,Mid,Full_Time,Data Scientist,56256,United Kingdom,hybrid,United Kingdom,Large
2021,Senior,Full_Time,Machine Learning Scientist,225000,United States,remote,Canada,Large
2021,Executive,Contract,Principal Data Scientist,416000,United States,remote,United States,Small
2021,Senior,Full_Time,Data Scientist,87738,Canada,remote,Canada,Small
2021,Mid,Full_Time,Data Scientist,88654,Germany,hybrid,Germany,Large
2021,Senior,Full_Time,Data Scientist,135000,United States,onsite,United States,Large
2021,Senior,Full_Time,Data Analyst,71786,Canada,remote,Canada,Medium
2021,Entry,Full_Time,Big Data Engineer,16228,India,remote,India,Large
2021,Senior,Full_Time,ML Engineer,256000,United States,remote,United States,Small
2021,Senior,Full_Time,Director of Data Engineering,200000,United States,remote,United States,Large
2021,Senior,Full_Time,Data Analyst,200000,United States,remote,United States,Large
2021,Mid,Full_Time,Data Architect,180000,United States,remote,United States,Large
2021,Mid,Full_Time,Head of Data Science,110000,United States,onsite,United States,Small
2021,Mid,Full_Time,Research Scientist,63810,Canada,remote,Canada,Medium
2021,Mid,Full_Time,Data Scientist,46809,Spain,remote,Spain,Medium
2021,Entry,Full_Time,Data Scientist,4000,Viet Nam,onsite,Viet Nam,Medium
2021,Entry,Full_Time,Data Engineer,21637,India,hybrid,India,Medium
2021,Senior,Full_Time,Data Scientist,103691,Canada,remote,Canada,Large
2021,Mid,Full_Time,Data Analyst,80000,United States,remote,United States,Large
2021,Mid,Full_Time,Data Engineer,110000,United States,remote,United States,Large
2021,Senior,Full_Time,Data Scientist,165000,United States,remote,United States,Large
2021,Entry,Full_Time,AI Scientist,18053,India,remote,American Samoa,Small
2021,Mid,Full_Time,Data Engineer,72212,United Kingdom,hybrid,United Kingdom,Large
2021,Entry,Full_Time,Data Scientist,36643,France,hybrid,France,Large
2021,Mid,Full_Time,Data Engineer,12103,Turkey,onsite,Turkey,Medium
2021,Senior,Full_Time,Data Engineer,96282,United Kingdom,hybrid,United Kingdom,Large
2021,Senior,Full_Time,Principal Data Analyst,170000,United States,remote,United States,Medium
2021,Mid,Full_Time,Data Scientist,115000,United States,hybrid,United States,Large
2021,Entry,Full_Time,Data Scientist,90000,United States,remote,United States,Small
2021,Executive,Full_Time,Principal Data Engineer,600000,United States,remote,United States,Large
2021,Entry,Full_Time,Data Scientist,28399,India,remote,India,Medium
2021,Mid,Full_Time,Data Analyst,93000,United States,remote,United States,Large
2021,Senior,Full_Time,Big Data Architect,99703,Canada,hybrid,Canada,Medium
2021,Senior,Full_Time,Principal Data Scientist,173762,Germany,remote,Germany,Medium
2021,Senior,Full_Time,Machine Learning Engineer,185000,United States,hybrid,United States,Large
2021,Executive,Full_Time,Director of Data Science,141846,Germany,onsite,Germany,Large
2021,Mid,Full_Time,Data Scientist,130000,United States,hybrid,United States,Large
2021,Senior,Full_Time,Data Analyst,63831,Germany,hybrid,Germany,Large
2021,Mid,Full_Time,Data Scientist,16904,India,remote,India,Small
2021,Senior,Full_Time,Machine Learning Engineer,66265,India,onsite,India,Large
2021,Mid,Full_Time,Data Scientist,25532,Serbia,remote,Germany,Small
2021,Senior,Full_Time,Lead Data Engineer,160000,Puerto Rico,hybrid,United States,Small
2021,Mid,Full_Time,Data Engineer,93150,United States,onsite,United States,Medium
2021,Mid,Full_Time,Data Engineer,111775,United States,onsite,United States,Medium
2021,Mid,Full_Time,Data Engineer,28016,Turkey,remote,Turkey,Medium
2021,Entry,Full_Time,Data Engineer,65013,Germany,hybrid,Germany,Medium
2021,Entry,Full_Time,Data Engineer,72500,United States,remote,United States,Large
2021,Senior,Full_Time,Computer Vision Engineer,18907,Brazil,onsite,Brazil,Medium
2021,Entry,Full_Time,Data Science Consultant,76833,Germany,onsite,Germany,Large
2021,Entry,Full_Time,Machine Learning Engineer,85000,Netherlands,remote,Germany,Small
2021,Senior,Full_Time,Data Scientist,77684,France,hybrid,France,Medium
2021,Entry,Full_Time,Data Scientist,100000,United States,remote,United States,Medium
2021,Entry,Full_Time,Data Scientist,58000,United States,hybrid,United States,Large
2021,Senior,Full_Time,AI Scientist,55000,Spain,remote,Spain,Large
2021,Senior,Full_Time,Data Scientist,20171,Turkey,hybrid,Turkey,Large
2021,Entry,Full_Time,Business Data Analyst,59102,Luxembourg,remote,Luxembourg,Large
2021,Mid,Full_Time,Data Engineer,112000,United States,remote,United States,Large
2021,Entry,Full_Time,Research Scientist,100000,Jersey,onsite,China,Large
2021,Mid,Part_Time,Data Engineer,69741,Netherlands,remote,Netherlands,Large
2021,Senior,Contract,Staff Data Scientist,105000,United States,remote,United States,Medium
2021,Mid,Full_Time,Research Scientist,69999,Czechia,hybrid,Czechia,Large
2021,Senior,Full_Time,Data Science Manager,94665,India,hybrid,India,Large
2021,Senior,Full_Time,Head of Data,102839,Slovenia,remote,Slovenia,Large
2021,Mid,Full_Time,Data Scientist,109000,United States,hybrid,United States,Large
